id,context,company_label,linkedin_id,industry,headcount,headcount_real,website,website_domain,headquarter,about,status,expected_job,comments,feedcode_1,empname_1,feedcode_2,empname_2,feedcode_3,empname_3,parent_company_id,owner,logo,edited_by,date_edited,revenue,owner_id,industrycode_updated,date_assigned,assigned_by,industry_v2,parent_linkedin_id,legal_entities,subsidiaries,affiliate_type
5292,"United States",VMware,2988,"Computer Software",35,35013,https://www.vmware.com/,vmware.com,"3401 Hillview Ave., Palo Alto, CA 94304, United States","VMware is a leading provider of multi-cloud services for all apps, enabling digital innovation with enterprise control. 

At the heart of everything we do lies the responsibility and the opportunity to build a sustainable, equitable and more secure future for all.​  

Since our founding in 1998, our employees and partners have been behind the tech innovations transforming entire industries. Today, we continue to cultivate a culture of innovation where curiosity meets execution.

We work to harness the next wave of innovation and solve our customers’ toughest challenges through disruptive technologies, like edge computing, AI, blockchain, machine learning, Kubernetes, and more.",4,211,"Active Open:

Date:[2022-11-08]
number of jobs in jobsite:489
duplicate jobs:12
expired jobs:26
Nro. Scanid(s):107696
[11/15/2022: Locations that mark an error in the geo are cleaned / descriptions are cleaned]

Expect Jobs Updated


[08/04/2022:Crawl history is validated, it is fine/expect job is updated in cl]

[06/09/2022:Expect Jobs is updated]
[Apr/05/2022]
scanid: 107696
expected jobs changed.
",vmware,,,,,,0,null,https://media.licdn.com/dms/image/C560BAQGRwuYZeI6aaA/company-logo_400_400/0/1588094413060?e=1683763200&v=beta&t=a_6K7_vho3RK142dDUu0BkgwBbwTHqQTld9QQM5Mf7o,1470,1672063349,0,9999,"2023-02-08 00:00:00",1680712674,775,"Software Development",0,"[""sofia"",""bengaluru"",""sydney"",""united states"",""singapore""]","[{""affiliate_name"":""Intrinsic (acquired by VMware)"",""affiliate_type"":""subsidiary"",""affiliate_linkedin_id"":""""},{""affiliate_name"":""CloudCoreo (Acquired by VMware)"",""affiliate_type"":""subsidiary"",""affiliate_linkedin_id"":""""},{""affiliate_name"":""PLUMgrid Inc. (Acquired by VMware)"",""affiliate_type"":""subsidiary"",""affiliate_linkedin_id"":""""},{""affiliate_name"":""Confer"",""affiliate_type"":""subsidiary"",""affiliate_linkedin_id"":""""},{""affiliate_name"":""VMware Cloud Native Apps"",""affiliate_type"":""showcase page"",""affiliate_linkedin_id"":""""},{""affiliate_name"":""VMware Learning"",""affiliate_type"":""showcase page"",""affiliate_linkedin_id"":""""},{""affiliate_name"":""VMware Aria"",""affiliate_type"":""showcase page"",""affiliate_linkedin_id"":""""},{""affiliate_name"":""VMware Knowledge"",""affiliate_type"":""showcase page"",""affiliate_linkedin_id"":""""},{""affiliate_name"":""VMware Partners"",""affiliate_type"":""showcase page"",""affiliate_linkedin_id"":""""},{""affiliate_name"":""VMware Professional Services"",""affiliate_type"":""showcase page"",""affiliate_linkedin_id"":""""},{""affiliate_name"":""Octarine"",""affiliate_type"":""subsidiary"",""affiliate_linkedin_id"":""""},{""affiliate_name"":""VMware Bulgaria"",""affiliate_type"":""showcase page"",""affiliate_linkedin_id"":""""},{""affiliate_name"":""VMware Telco Cloud"",""affiliate_type"":""showcase page"",""affiliate_linkedin_id"":""""},{""affiliate_name"":""VMware Cloud"",""affiliate_type"":""showcase page"",""affiliate_linkedin_id"":""""},{""affiliate_name"":""VMware CIO Exchange"",""affiliate_type"":""showcase page"",""affiliate_linkedin_id"":""""},{""affiliate_name"":""VMware Customer Experience and Success"",""affiliate_type"":""subsidiary"",""affiliate_linkedin_id"":""78059614""},{""affiliate_name"":""Nyansa (now a part of VMware)"",""affiliate_type"":""subsidiary"",""affiliate_linkedin_id"":""""},{""affiliate_name"":""Veriflow (Acquired by VMWare)"",""affiliate_type"":""subsidiary"",""affiliate_linkedin_id"":""""},{""affiliate_name"":""VMware Skyline"",""affiliate_type"":""showcase page"",""affiliate_linkedin_id"":""""},{""affiliate_name"":""VMware Cloud Services Provider"",""affiliate_type"":""showcase page"",""affiliate_linkedin_id"":""""}]",
5309,"United States","Kellogg Company",3922,"Consumer Goods",19,19230,http://kelloggcompany.com/,kelloggcompany.com,"One Kellogg Square, Battle Creek, Michigan 49017, United States","Driven by the legacy of our innovative founder, W.K. Kellogg, the Kellogg Company is the world’s leading producer of cereal and a leader in snacks production. Every day, our well-loved brands, delight families in more than 180 countries. With billions in annual sales, our brands include Cheez-It®, Coco Pops®, Corn Flakes®, Eggo®, Frosted Flakes®, Kellogg’s®, Mini-Wheats®, Pop-Tarts®, Pringles®, Rice Krispies®, Special K®, and many more.",4,259,http://boo1.neuvoo.com/boo3-web/qa/app/index.php?scanid=25811,kellogg-company,,,,,,0,null,https://media.licdn.com/dms/image/C4E0BAQEOT9VZgT0iYg/company-logo_400_400/0/1602846265221?e=1683763200&v=beta&t=4sB7th2NvFIXhM48aUfmFAKc-7FwOw4TYIq8p0_aR7g,740,1649088623,0,9999,"2023-02-08 00:00:00",1680712674,775,Manufacturing,0,"[""sao paulo"",""bucharest"",""battle creek"",""oak brook"",""rogers"",""santiago de queretaro"",""hamburg"",""dublin"",""paris"",""salford""]","[{""affiliate_name"":""Pure Organic Snacks"",""affiliate_type"":""subsidiary"",""affiliate_linkedin_id"":""""},{""affiliate_name"":""Kellogg's Away From Home"",""affiliate_type"":""showcase page"",""affiliate_linkedin_id"":""""}]",
5356,"United States","Express Scripts",4969,"Hospital & Health Care",13,13374,http://express-scripts.com/corporate,express-scripts.com,"1 Express Way, St. Louis, MO 63121, United States","We’re a health care opportunity company, tackling the problems others don’t, won’t or can’t. Where some see obstacles, we see possibilities. At Express Scripts, we dare to imagine a better health care system, and we’re driven to make it happen.  We’re challengers, difference-makers and opportunity-seekers, united with our partners in pursuit of a simpler, more sustainable system and better health for all. We are Champions For Better. 

Express Scripts has a deep history as an industry innovator, every day striving for better. Standing with those we serve, we collaborate with our clients and partners to develop personalized solutions that make a meaningful difference, getting better – together. 

Champions For Better represents our promise to create a better health care experience for all. Living our promise requires a diverse group of smart and driven individuals, working together to help 100 million people get, and stay, healthy. To deliver on that promise, we’re always looking for creative, passionate and curious individuals to join our team. 

Working at Express Scripts, you’re supported in a forward-thinking environment where you’re empowered to lead and explore, taking control of your career as you provide solutions that impact real people. Helping health care deliver more is more important than ever. We need dreamers and doers, caregivers and craftsmen, transformers and trailblazers.

Are you ready to be a Champion?

SUBSIDIARIES  
Accredo – specialty pharmacy
Care Continuum – medical benefit management
CuraScriptSD – specialty distribution
Freedom Fertility Pharmacy – fertility pharmacy
Inside Rx – pharmacy savings for uninsured and underinsured
eviCore healthcare – medical benefit management
MyMatrixx – workers'​ compensation",4,0,"[23/12/2021  ""If you're a previous Express Scripts Medicare Part D Plan (PDP) customer, your plan is now part of the Cigna family"" Fragment taken from=> https://www.cigna.com/medicare/part-d/cigna-express-scripts?PID=dm_01_16641#:~:text=Welcome%20to%20Cigna,part%20of%20the%20Cigna%20family. Company=> https://talent.com/private/tools/jobs/pageCompanyView.php?id=5352]
[Nov 11, 2021] All jobs indexed in primary source feedcode",,,,,,,5352,null,https://media.licdn.com/dms/image/C510BAQG9F958wGpxUw/company-logo_400_400/0/1519856060419?e=1683763200&v=beta&t=oDdK2MFmpJzlIUadvYrxN9KHI7g75_2E99eBHJtszAg,740,1649086764,0,9999,"2023-02-08 00:00:00",1680712674,775,"Hospitals and Health Care",0,[],"[{""affiliate_name"":""CuraScript SD"",""affiliate_type"":""subsidiary"",""affiliate_linkedin_id"":""""},{""affiliate_name"":""myMatrixx, by Evernorth"",""affiliate_type"":""subsidiary"",""affiliate_linkedin_id"":""""}]",
5545,"United States","United States Air Force",157235,"Defense & Space",270,272123,http://www.airforce.com/,airforce.com,"550 D Street West, Suite 1, Randolph AFB, TX 78150-4527, United States","The mission of the United States Air Force is to fly, fight and win … in air, space and cyberspace.

To achieve that mission, the Air Force has a vision of Global Vigilance, Reach and Power. That vision orbits around three core competencies: developing Airmen, technology to war fighting and integrating operations. These core competencies make our six distinctive capabilities possible.

Air and Space Superiority: With it, joint forces can dominate enemy operations in all dimensions: land, sea, air and space.

Global Attack: Because of technological advances, the Air Force can attack anywhere, anytime and do so quickly and with greater precision than ever before.

Rapid Global Mobility: Being able to respond quickly and decisively anywhere we're needed is key to maintaining rapid global mobility.

Precision Engagement: The essence lies in the ability to apply selective force against specific targets because the nature and variety of future contingencies demand both precise and reliable use of military power with minimal risk and collateral damage.

Information Superiority: The ability of joint force commanders to keep pace with information and incorporate it into a campaign plan is crucial.

Agile Combat Support: Deployment and sustainment are keys to successful operations and cannot be separated. Agile combat support applies to all forces, from those permanently based to contingency buildups to expeditionary",3,0,"-Jobsite needs log in https://prnt.sc/svVMm770XytV

[06/28/2022
An attempt was made to index, but when paginating, it is not done, it is tried by Json but we are blocked
]
[11/10/2021] CL New | [Company List ID: 18258] | It was tried to do by json get, json post, http request and normal extraction but in all the jobsite it blocks us",,,,,,,0,null,https://media.licdn.com/dms/image/C4E0BAQEiOtYxa4RriA/company-logo_400_400/0/1519906599069?e=1683763200&v=beta&t=aLdXqUq_iGVjH2shd0ttqEQQ4hHCsYrqLQC9jIuLCb8,1086,1657833037,0,9999,"2023-02-08 00:00:00",1680712674,775,"Defense and Space Manufacturing",0,[],"[{""affiliate_name"":""Air Force Civilian Service"",""affiliate_type"":""subsidiary"",""affiliate_linkedin_id"":""2619961""}]",
5605,"United States","Marine Corps Recruiting",2039,Military,45,45188,http://www.marines.com/officer,marines.com,"1, Washington, DC 20350, United States","This is the Official LinkedIn Page of Marine Corps Recruiting.

We make Marines. We win our nation's battles. We develop quality citizens. These are the promises the Marine Corps makes to our nation and to our Marines. 

The core values that guide us, and the leadership skills that enable us, not only make for outstanding Marines, they make for upstanding citizens. Every Marine is an ambassador for our nation and our Corps. From the day Marines earn the title through the rest of their lives, the impeccable standards of the Marine Corps are exemplified in everything they do.

Marine Corps Officer candidates are evaluated on leadership, academics and physical training. To become an officer, you must excel at all three. The harder you push yourself, the more you will accomplish. You will be challenged as a leader, and learn that the success of your team is as important as your own.

Visit Marines.com/Officer to learn if you have what it takes to lead Marines.

For more information, contact a Marine Corps recruiter: http://usmarin.es/WyMVIG",4,0,"[07/05/2022]the company does not have a jobsite at the moment",,,,,,,0,null,https://media.licdn.com/dms/image/C4E0BAQEtu9_sXFq8bA/company-logo_400_400/0/1519856119436?e=1683763200&v=beta&t=uT596H8bdeq20jXbSL5oXuETVRiHS-uXBOvrmZeT2Cc,1298,1657056822,0,9999,"2023-02-08 00:00:00",1680712674,775,"Armed Forces",0,[],[],
5639,"United States",Tupperware,166537,"Consumer Goods",11,11033,http://tupperwarebrands.com/,tupperwarebrands.com,"14901 S. Orange Blossom Trl., Orlando, FL 32837, United States","Founded in 1946, Tupperware's signature container created the modern food storage category that revolutionized the way the world stores, serves and prepares food. Today, we continue to innovate for the benefit of people and our planet by designing innovative, functional and environmentally responsible products that people love and trust. 

With a purpose to nurture a better future, Tupperware products are alternatives to single-use items - meant to reduce food waste and single-use plastic waste.  We distribute our products into nearly 80 countries primarily through independent representatives around the world.",4,0,"The jobsite have a jobs but in this moment doesn't have jobs
Jobsite: https://www.tupperwarebrands.com/careers/corporate-careers
[01/07/2022] jobs in linkedin ",,,,,,,0,null,https://media.licdn.com/dms/image/C4D0BAQFSNEJCdqr7Ig/company-logo_400_400/0/1602862085840?e=1683763200&v=beta&t=A1dL6MkR0aXm4nkRsIajxrDvO4KHfGq2ZQUHdD7pC3s,1248,1641570081,0,9999,"2023-02-08 00:00:00",1680712674,775,Retail,0,"[""nyon"",""orlando""]","[{""affiliate_name"":""Tupperware Italia S.p.A."",""affiliate_type"":""subsidiary"",""affiliate_linkedin_id"":""""}]",
5669,"United States","Dentsply Sirona",163416,"Medical Devices",85,5722,http://www.dentsplysirona.com,dentsplysirona.com,"221 West Philadelphia St.York, Pennsylvania, 17405-0872United States","A Global Total Solutions Provider

Dentsply Sirona is the world’s largest manufacturer of professional dental products and technologies, empowering dental professionals to provide better, safer and faster dental care.  Our products and solutions include leading positions and platforms across consumables, equipment, technology, and specialty products. Dentsply Sirona is one global team that brings out the best in our people, lives and breathes high performance and personal accountability, acts with uncompromising integrity, improves the practice of dentistry with an unrelenting commitment to our customers and demonstrates a passion for innovation that shapes the dental industry.

As The Dental Solutions Company™ Dentsply Sirona’s comprehensive solutions offering includes leading product brands across consumables, equipment, technology and specialty products. With the broadest clinical education platform and an unparalleled commitment to R&D in dentistry, our mission and vision guide us to continuously aim higher, support our customers and advance patient care around the world.

Dentsply Sirona’s Global Headquarters is located in York, Pennsylvania, and the International Headquarters is based in Salzburg, Austria. Our shares are listed in the United States on NASDAQ under the symbol XRAY.  In the 12 months ended December 31, 2017, the combined company had pro-forma revenue of approximately $4 billion.",4,281,"Scanid = 213557
2021/09/08: https://prnt.sc/1rlc6rs

16/02/2022
Jobs on the page are reviewed, it is evident that they have changed, we proceed to change expect jobs

[27/04/2022] CL Maintenance | [Company List ID:5669] | The source_location is extracted and all waits are deactivated.",dentsply-sirona,,,,,,0,null,https://media-exp1.licdn.com/dms/image/C4E0BAQFWZbm1h7NaCQ/company-logo_100_100/0/1659707065717?e=1674691200&v=beta&t=dj70L7No3MNAH2ZUx5RMDSQSNWALofogL6b38pfTIi0,1327,1670334863,0,9999,"2022-10-27 00:00:00",1679585636,1070,"Medical Equipment Manufacturing",0,[],"[{""affiliate_name"":""DentsplySironaSales"",""affiliate_type"":""showcase page"",""affiliate_linkedin_id"":""""},{""affiliate_name"":""Wellspect HealthCare"",""affiliate_type"":""subsidiary"",""affiliate_linkedin_id"":""2717943""}]",
5680,"United States",Donaldson,9420,"Mechanical or Industrial Engineering",6,4557,http://www.donaldson.com,donaldson.com,"1400 W 94th StreetBloomington, MN, 55431United States","Donaldson Company helps solve some of the world's most complex filtration and contamination control challenges, and is one of the largest global providers of unique filtration technologies and high-quality filters and parts. Our filtration technologies and products are used every day, in a variety of industries and environments, including aerospace, agriculture, construction, food and beverage, manufacturing, mining, power generation, transportation and many more. Key to our success, our 14,000 employees support customers at sales, manufacturing and distribution centers from over 140 locations on six continents. 

The filtration market continues to grow. Customers'​ needs for filtration solutions continue to evolve. And the opportunities for our products and our people continue to expand. Learn more at www.donaldson.com.",4,243,"scanid=185268

[2022/8/02] maintenance CL
* expected jobs updated",donaldson,,,,,,0,null,https://media-exp1.licdn.com/dms/image/C510BAQHonA3o0SYw4w/company-logo_100_100/0/1519856827388?e=1674691200&v=beta&t=vk3wSV2Hq36vsybUsdjSBi27m7axdazN9g2_51x88-g,1469,1677090791,0,9999,"2022-10-27 00:00:00",1679585636,1070,"Industrial Machinery Manufacturing",0,"[""interleuvenlaan 1"",""greater minneapolis-st. paul area"",""no. 763 mengzi road"",""san francisco de los romo""]",[],
5691,"United States",RadioShack,3428,Retail,5,5030,http://www.radioshack.org/,radioshack.org,"300 RadioShack Circle, Fort Worth, TX 76102, United States","RadioShack is your neighborhood technology resource – enabling Consumers and Makers alike to find what they need to connect and power their lives. Est. 1921.",4,0,"The spider stay in status active waiting for new jobs with dateposted updated, actually only have 3 jobs but with dateposted 2017
https://prnt.sc/Ax9_ozD2fs6S",radioshack,,,,,,0,null,https://media-exp1.licdn.com/dms/image/C4E0BAQHazMLYkAAFRg/company-logo_100_100/0/1658430831680?e=1674691200&v=beta&t=uScQrQZTk7vIlBOVtjx8gt5NPH_V15-n24Qrr93Pxq8,719,1662387583,0,9999,"2022-10-27 00:00:00",1679585636,1070,"Blockchain Services",0,[],[],
5727,"United States","Motorola Solutions",1771432,Telecommunications,19,19151,http://www.motorolasolutions.com/,motorolasolutions.com,"500 W. Monroe Street, Chicago, IL 60661, United States","Motorola Solutions is a global leader in public safety and enterprise security. Our solutions in land mobile radio communications, video security & access control and command center software, bolstered by managed & support services, create an integrated technology ecosystem to help make communities safer and businesses stay productive and secure. At Motorola Solutions, we’re ushering in a new era in public safety and security. Learn more at www.motorolasolutions.com.",4,0,"Scanid: 95284

[15/03/2023]
no jobs posting, left active but no generetion error in spider",,,,,,,0,null,https://media.licdn.com/dms/image/C4D0BAQE4yt5Gz-3KGQ/company-logo_400_400/0/1519861235024?e=1683763200&v=beta&t=J23sHJRA7Iz2aI0wf271YsxVDqTSTpyzmuCJGu00OvI,1082,1678894932,0,9999,"2023-02-08 00:00:00",1680712674,775,Telecommunications,0,"[""burwood east"",""lawrenceville"",""greater chicago area"",""petaling jaya"",""markham"",""london""]","[{""affiliate_name"":""Edesix"",""affiliate_type"":""acquisition"",""affiliate_linkedin_id"":""873070""},{""affiliate_name"":""Kodiak"",""affiliate_type"":""acquisition"",""affiliate_linkedin_id"":""""},{""affiliate_name"":""Gridstone"",""affiliate_type"":""subsidiary"",""affiliate_linkedin_id"":""2532700""},{""affiliate_name"":""Barrett Communications"",""affiliate_type"":""acquisition"",""affiliate_linkedin_id"":""""},{""affiliate_name"":""Motorola Solutions Brasil"",""affiliate_type"":""subsidiary"",""affiliate_linkedin_id"":""2290303""},{""affiliate_name"":""Spillman Technologies"",""affiliate_type"":""acquisition"",""affiliate_linkedin_id"":""20606""},{""affiliate_name"":""Motorola Solutions América Latina y Caribe"",""affiliate_type"":""subsidiary"",""affiliate_linkedin_id"":""2087568""}]",
